dzo_to_eng,eng_to_dzo
The search for the crash site has been interrupted by bad weather and a rough terrain.,རྐྱེན་ངན་བྱུང་སའི་ས་ཁོངས་འཚོལ་བའི་དཔའ་བཅམ་མི་འདི་གནམ་གཤིས་ཁམས་ལོག་སི་སི་དང་ས་ཁོངས་སྲ་ཀྲག་གིས་གདོང་ལེན་འབད་ནུག།
"According to the World Health Organization, it is the worst outbreak in the country, according to the World Health Organization, Mangola, the Madras Census Research Council and the World Health Organization.",སྨན་གྲོགས་རམ་ཚོགས་སྡེ་ མོང་གོ་ལ་ མདོ་ཁམས་མེད་པའི་ས་མཚམས་དང་ འཛམ་གླིང་འཕྲོད་བསྟེན་ཚོགས་པ་གིས་ འདི་རྒྱལ་ཁབ་ནང་ཁྱབ་རྐྱེན་དྲག་ཤོས་ཅིག་ཨིན་ཟེར་སླབ་མས།
"According to Richard Warma, a representative of the French Revolution, Angola is going through a terrible pandemic and the situation in Angola is getting worse, he said.",མདོ་ཁམས་མེད་པའི་ས་མཚམས་ཀྱི་ཁ་འཐེན་མི་ རིག་འཛིནཝ་ཝིར་མཱན་གྱིས་ ཨིང་གོ་ལ་འདི་ནད་ཡམས་དྲག་ཤོས་ཀྱི་དོན་ལུ་འགྱོ་དོ་ཡོདཔ་ལས་ གནས་སྟངས་འདི་ཨིང་གོ་ལ་ནང་གནམ་མེད་ས་མེད་སྐྱོ་དྲགས་སྦེ་ར་ར་ར་སྡོད་ཅི་ཟེར་སླབ་ཅི།
"Even though it rained early in the morning when the game started at 10am, the weather was fine for rugby, which was played by seven people each day.",རྩེད་འགྲན་འདི་གནམ་གཤིས་ལེགས་ཤོམ་སྦེ་དྲོ་པ་ཆུ་ཚོད་ ༡༠:༠༠ ལུ་འགོ་བཙུགས་ནུག། དེ་ལས་དྲོ་པ་ཕྱེད་ཀྱི་ཆརཔ་འདི་མགྱོགས་པར་འཕྱག་སྟེ་འགྱོ་མི་ལུ་གཞན། འདི་༧ གི་རག་བི་གི་དོན་ལུ་ཉིནམ་ལེགས་ཤོམ་ཅིག་སྡོད་ཅི།
"South Africa, the top team in the tournament, managed to score 26 points over Zambia, the fifth-best team, but Zambia failed to score any points and started the game safely.",རྩེད་འགྲན་ནང་ ལྷོ་ཨ་ཕི་རི་ཀ་གི་གོང་ཚད་མཐོ་ཤོས་ཀྱི་སེམ་འདི་ ཁོང་ཚོས་ས་ལྔ་པ་ཡོད་པའི་ཛཱ་བི་ཡ་ལུ་བདེ་ཏོག་ཏོ་སྦེ་ ༢༦-༠༠ རྒྱལ་ཁ་ཐོབ་པའི་སྐབས་ འགོ་བཙུགས་ནུག།
"The South African team did not seem to have done much practice during the match, but the South African match did improve.",ལྷོ་ཨཕ་རི་ཀ་འདི་ ཁོང་རའི་ ལྷོ་ཕྱོགས་ཀྱི་ཨ་ཞེམོ་སྤུན་ཆ་ཚུ་གི་རྩེད་འགྲན་ནང་ ཐད་རི་བ་རི་བཙོག་སི་སི་སྦེ་མཐོང་སྟེ་ཨིན་རུང་ རྩེད་འགྲན་འདི་ཡར་རྒྱས་འགྱོ་འགྱོ་བའི་བསྒང་ལས་ འཕྲོ་མཐུད་དེ་ར་ཡར་རྒྱས་འགྱོ་ནུག།
"Their players had excellent tackling, catching and throwing skills and combined skills, which meant they were determined to win over the opposing team.",ཁོང་གི་བཅའ་ཁྲིམས་ཅན་གྱི་སྲུང་རྒྱབ་དང་བཱོལ་ལག་ལེན་གྱི་རིག་རྩལ་དང་སྡེ་ཚན་གྱི་ལཱ་ལེགས་ཤོམ་གྱིས་ཁོང་དབྱེ་བ་ཕྱེ་བཅུག་ཡོདཔ་དང་འདི་རྒྱལ་ཁ་འཐོབ་མི་སྡེ་ཚན་ཨིན་ཟེར་གསལ་ཏོག་ཏོ་སྦེ་མཐོང་ནུག།
"According to the officials of the Amsterdam and this fair, the tree is covered with a layer of bark, which makes it a public health hazard and a high risk of collapse.",ཨེན་ཊར་མཌཱམ་ཁྲོམ་དང་ཨེན་ཕརེནཀ་འགྲེམས་སྟོན་ཁང་གི་འགོ་དཔོན་ཚུ་གིས་ཤིང་འདི་རྩི་ཤིང་ཅིག་གིས་འབུ་ནད་ཐོབ་སྟེ་ མི་མང་གི་འཕྲོད་བསྟེན་ལུ་ཉེན་ཁ་ཅིག་བཟོ་ནུག་ཟེར་ཁོང་གིས་འདི་བུད་འགྱོ་ནིའི་ཉེན་ཁ་སྦོམ་ཅིག་འདུག་ཟེར་ཁ་ཤགས་འབདཝ་མས།
"The tree was set for cutting on Sunday, but fell after being banned from harvesting by the court.",འདི་གཟའ་ཟླཝ་ལུ་བཏོག་ནི་འཆར་གཞི་བརྩམ་ཡོདཔ་ཨིན་རུང་འདི་ཁྲིམས་ཁང་གི་ཚ་གྱང་ཅན་གྱི་ཐག་གཅོད་ཀྱི་ཤུལ་ལས་ཐར་བཏང་ནུག།
"All the entrances to the cave, which are called Her Seven Brethren, are at least between 100 and 250 metres wide.",བྱག་ཕུག་གི་འཛུལ་སྒོ་ག་ར་ལུ་ཨེས་བདུན་སྲིངམོ་ཟེར་མིང་བཏགས་མི་འདི་ དམངས་ཚད་མི་ཊར་ ༡༠༠ ལས་ ༢༥༠ ཚུན་ཨིན།
"According to the pictures, the change in temperature from night to day revealed that they resembled caves.",ཉི་མ་དང་ནུབ་མོ་གི་དྲོད་ཚད་གྱི་འགྱུར་བཅོས་ཚུ་གིས་ཁོང་ཚུ་ཕུག་ཕུག་ཨིནམ་བཟུམ་ཅིག་ཡོད་ཟེར་སྟོན་མས།
"They are surrounded by the sunny skies, warmer and the night skies are clearer.",ཁོང་ཚུ་ཉིནམ་ལུ་མཐའ་འཁོར་གྱི་ས་ཁུདཔ་ལས་བསིལ་ཏོང་ཏོ་དང་ནུབ་མོ་དྲོ་ཏོག་ཏོ་འདུག།
"According to the United States Antarctic Survey and the Northern Arizona University located in Flagstaff, Arizona, the Glinchuk trees, their temperature remains constant because of the deepest caves on Earth, which are not as uniform as those of large caves.",ཁོང་གི་དྲོད་ཅན་གྱི་སྤྱོད་ལམ་འདི་འཛམ་གླིང་གི་བྲག་ཕུག་སྦོམ་ཚུ་བཟུམ་སྦེ་བརྟན་བརྟན་སྦེ་ར་མེད་དེ་ཡང་འཕྲལ་འཕྲལ་རང་དྲོད་འདི་བརྟན་བརྟན་སྦེ་ར་བཞགཔ་ཨིན་ དེ་འབདཝ་ད་འདི་འདི་ཨ་ཇེ་རོ་ན་གི་ཕེལགསི་ཊ་ཕ་ལུ་ཡོད་མི་ཡུ་ནའི་ཊེཌ་ཨེསི་ ཇི་ཨོ་ལོ་ཇི་ཡཱལ་སིབཱསི་ (ཡུ་ཨེསི་ཨེསི་ཨེཌ་) ཨིསི་ཊོརོཇེ་ལོ་ཇི་སྡེ་ཚན་དང་ཨེ་རི་ཟོ་ན་གི་བྱང་ཕྱོགས་གཙུག་ལག་སློབ་སྡེ་ལས་ གེལེན་ ཀུཤིན་གྱིས་སླབ་དེས།
"In France, voting is not connected to a single machine, so voters go to the polling station by themselves and put their preferred candidate on the pre-printed lottery and put it in the envelope.",ཕེརེནཆི་ལུ་ ཚོགས་རྒྱན་བཙུགས་ནི་འདི་ རྙིང་རྒྱུན་གྱི་རིག་རྩལ་ཉུང་དྲགས་ཡོད་པའི་ཉམས་མྱོང་ཅིག་སྡོད་ཅི། ཚོགས་རྒྱན་བཙུགས་མི་ཚུ་གིས་ ཁོང་ར་ཚུ་ཁང་མིག་ནང་སོ་སོ་སྦེ་བཞག་ཞིནམ་ལས་ ཁོང་རའི་གདམ་ཁ་ཅན་གྱི་འདེམས་ངོ་སྟོན་མི་སྔོན་མ་སྦེ་ཨེབ་གཏང་མི་ཤོག་ལེབ་འདི་ ཡིག་ཤུབས་ནང་བཙུགས་ནུག།
"After officials verified a photo ID, the voters put the envelope in the box and put it on the ballot.",འགོ་དཔོན་ཚུ་གིས་ ཚོགས་རྒྱན་བཙུགས་མི་གི་ངོ་རྟགས་བདེན་ཁུངས་བཀལ་ཞིནམ་ལས་ ཚོགས་རྒྱན་བཙུགས་མི་གིས་ ཡིག་ཤུབས་འདི་ ཚོགས་རྒྱན་ཤོག་སྒྲོམ་ནང་བཀོ་བཞག་ཞིནམ་ལས་ ཚོགས་རྒྱན་ཤོག་གུ་རྟགས་བཀོད་ནུག།
French electoral law strictly regulates these processes.,ཕེརེནཆི་གི་བཙག་འཐུ་ཁྲིམས་ལུགས་ཀྱིས་ བྱ་རིམ་ཚུ་དམ་དམ་སྦེ་སྒྲིག་འབདཝ་ཨིན།
"Since 1988, the ballot box has been very clean and requires that voters and spectators be shown that there are no blank entries in the box before the vote begins and, finally, only those who count and are permitted to enter the blank entries.",སྤྱི་ལོ་༡༩༨༨ ལས་ཚུར་ ཚོགས་རྒྱན་འཕྲུལ་ཆས་སྒྲོམ་ཚུ་ དྭངས་གསལ་སྦེ་ཡོད་ནི་འདི་གིས་ ཚོགས་རྒྱན་བཙུགས་མི་དང་ ལྟ་རྟོག་པ་ཚུ་གིས་ ཚོགས་རྒྱན་བཙུགས་པའི་འགོ་དང་པ་ནང་ ཡིག་ཚང་ཚུ་མེད་མི་དང་ དོ་དམ་སྦེ་རྩིས་རྐྱབ་མི་དང་ ངོས་འཛིན་ཅན་གྱི་ ཚོགས་རྒྱན་བཙུགས་མི་ཚུ་མ་གཏོགས་ ཡིག་ཚང་ཚུ་མ་བསྡུཝ་ཨིནམ་སྦེ་ འཛོམ་དཔང་འབད་ཚུགས།
"Voters are allowed to send delegates to observe any process, and by nightfall, volunteers count the votes with strict code of conduct and supervision.",འདེམས་ངོ་ཚུ་གིས་ བྱ་རིམ་གྱི་ཆ་ཤས་རེ་རེ་བཞིན་ལུ་དཔང་པོ་བཤད་ནིའི་དོན་ལུ་ ངོ་ཚབ་ཚུ་གཏང་ཚུགས། ཕྱི་རུ་ལུ་ ཚོགས་རྒྱན་ཚུ་ རང་མོས་ཅན་གྱི་ལཱ་གཡོག་གི་རྒྱབ་ལས་འབད་ཐོག་ལས་ ལེགས་བཅོས་ཅན་གྱི་ལམ་ལུགས་ཚུ་བསྟུན་ཏེ་ དབྱངས་ཞིབ་འབད་ནུག།
The worldwide launch of the Asus IPS laptop in an effort to reduce costs and recruit people became the subject of a debate during the 2007 IT Month celebration.,གོང་ཚད་གསོག་འཇོག་དང་ལཱ་འགན་གྱི་རྒྱུ་མཚན་གྱི་དོན་ལུ་ ཧེ་མ་འཛམ་གླིང་ཡོངས་ལུ་འགོ་བཙུགས་མི་ཨེས་ཨེས་ཨེས་ཨེས་ཨེས་ཨེས་པི་སི་འདི་ སྤྱི་ལོ་༢༠༠༧ ཊའི་པེ་ཨི་ཨི་ཟླཝ་ནང་གནད་དོན་ཚ་ཏོག་ཏོ་ཅིག་ལུ་འགྱུར་ནུག།
But the situation of laptop buyers will change a lot after the Chinese administration granted permanent Taiwanese recognition to ASUS in 2007.,དེ་འབདཝ་ད་ལག་ལེན་གྱི་ཚོང་འབྲེལ་གྱི་ལག་ལེན་གྱི་གློག་རིག་འདི་ཨེས་ཨེས་ཨེས་འདི་སྤྱི་ལོ་ ༢༠༠༧ ལུ་རྒྱ་ནག་གི་སྤྱི་ཡོངས་ཀྱི་ལས་འཛིན་ཡུ་ན་གྱིས་ཊའི་ཝན་གནས་བརྟན་གྱི་གཟེངས་རྟགས་ཐོབ་པའི་ཤུལ་ལས་རྩ་ལས་ར་མ་འདྲཝ་དང་འགྱུར་བཅོས་འགྱོ་འོང་།
"The station's website states that the program features a new, bloody drumstick in the old school station.",གློག་བརྙན་ཁང་གི་ཡོངས་འབྲེལ་གྱི་ཡོངས་འབྲེལ་གྱི་ཡོངས་འབྲེལ་གྱི་སྒོ་ལས་སྟོན་འདི་སློབ་གྲྭ་རྙིངམ་གི་གློག་བརྙན་འཁྲབ་སྟོན་དང་འབྲེལ་བའི་གསར་འགྱུར་དང་དྲག་སྤྱོད་ཅན་གྱི་གླེན་པ་ཀྱི་འཁོར་ལོ་ཅིག་སྦེ་འགྲེལ་བཤད་རྐྱབ་མས།
"Previously, the programme was broadcast on the online webcast, Two Network Broadcasting, which focused on reality talk shows.",འགོ་ཐོག་གི་ཉིནམ་ཚུ་ནང་ འགྲེམས་སྟོན་འདི་ ཡོངས་འབྲེལ་གློག་བརྙན་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་འབྲེལ་ཡོངས་
"At the end of 2015, TwinNet established AstroNet Broadcasting as a subsidiary station.",སྤྱི་ལོ་ ༢༠༡༥ གི་མཇུག་བསྡུ་ཁམས་ལུ་ ཊོ་ཇི་ནེཊ་གིས་ ཨིས་ཊོརནེཊ་རེ་ཌི་ཨོ་འདི་འོག་མ་ལས་འགུལ་ཅིག་སྦེ་གཞི་བཙུགས་འབད་ནུག།
"The event was open to non-professional speakers, especially those from East Texas.",ལས་རིམ་འདི་འགོ་ཐོག་ལུ་ ཊེག་སསི་ཤར་ཕྱོགས་ལུ་ཡོད་པའི་ཨ་མི་ཊར་སྐད་ཀྱི་འཁྲབ་རྩེད་པ་ཚུ་ཡོད།
"As law enforcement officers were absent from the marketplace at night, looting continued throughout the night.",བིཤ་ཀེག་གི་ཁྲོམ་ལམ་ལུ་ཁྲིམས་སྲུང་འགོ་དཔོན་ཚུ་མ་སྡོད། རྒྱགས་བཅོམ་རྒྱ་ཆེ་དྲགས་སྦེ་འདི་ནུབ་མོ་ར་འཕྲོ་མཐུད་དེ་ར་འབད་ཡི་ཟེར་སྙན་ཞུ་འབད་ནུག།
A spy said that the city was turning into a haunted city because of the mob that was pillaging the stock depots in Bischek.,བིཤ་ཀེག་འདི་ལྟ་རྟོག་པ་ཅིག་གིས་ མི་སྡེ་སྡེ་ཚན་གྱིས་ཁྲོམ་ལམ་བདའ་སྟེ་བཤལ་ཏེ་ ཉོ་སྤྱོད་ཅ་ལ་གྱི་ཚོང་ཁང་ཚུ་བཅོམ་པའི་སྐབས་ སྟབས་མ་བདེཝ་ཅིག་ནང་འཛུལ་ནི་བཟུམ་སྦེ་བཤད་ཅི།
A few Biscuits sent a message to the southbound crowd about the illegal move.,བིཤ་ཀེག་གི་མི་དག་པ་ཅིག་གིས་ཁྲིམས་འགལ་གྱི་དོན་ལས་ལྷོ་ཕྱོགས་ལས་ངོ་རྒོལ་འབད་མི་ལུ་ཉེས་ཁ་བཀལ་ནུག།
"South Africa beat the New Zealand rugby union team, the All Blacks, in a rugby match at Royal Belfast Stadium in Ruston, South Africa.",ལྷོ་ཨཕ་རི་ཀ་གིས་ ལྷོ་ཨཕ་རི་ཀ་གི་རོས་ཊེན་བུར་གནང་ཡོད་པའི་རེ་གི་རྒྱལ་ཁབ་ཀྱི་རྒྱལ་ཡོངས་གསུམ་གྱི་རྩེད་འགྲན་ནང་ ཨོ་ལབ་ལེཀསི་ (ནིའུ་ཛི་ལེནཌ་) རྒྱལ་ཁ་ཐོབ་ནུག།
"The final score was 21 to 20, with one point won, and the 15-game victory over the All Blacks in the snow collapsed.",མཐའ་མཇུག་གི་གྲུབ་འབྲས་འདི་ཨོ་ལབ་ལེཀསི་གི་རྩེད་འགྲན་༡༥ རྒྱལ་ཁ་འཐོབ་པའི་རིམ་པ་མཇུག་བསྡུ་བའི་སྒོ་ལས་ཨང་གཅིག་ལས་རྒྱལ་ཁ་ ༢༡ ལས་༢༠ ཨིན།
Spyro Bogue lost 5 games in a row.,སེརིང་བོཀསི་གི་དོན་ལུ་ རྩེད་འགྲན་ལྔ་གི་ཕམ་རིམ་མཇུག་བསྡུ་ཡི།
The match was the final against Dutch champion All Blacks who had won the title two weeks earlier.,ཨ་ནཱི་འདི་ བདུན་ཕྲག་གཉིས་ཀྱི་ཧེ་མ་ཧེ་མ་ལས་ ཙཱམ་འདི་ རྒྱལ་ཁ་འཐོབ་མི་ ཨོ་ལབ་ལེཀསི་གི་ རྩེད་འགྲན་མཇུག་ཨིན་མས།
The final of the competition will be played at Alice Park in Johannesburg next week between Spyrrock and Australia.,འགྲེམས་སྟོན་གྱི་རྩེད་འགྲན་མཇུག་འདི་ཤུལ་མའི་བདུན་ཕྲག་ནང་ཇོ་སཱན་བཱོཀ་གི་ཨེ་ལིས་པཱར་ཀ་ལུ་འབྱུང་ནི་ཨིན་པའི་སྐབས་སེརེབ་བོཀསི་གིས་ཨཱསི་ཊེ་ལི་ཡ་རྩེད་ནི་ཨིན་མས།
A powerful earthquake struck eastern Montana at 10:18 p.m.,གཟའ་མིག་དམར་ལུ་ཆུ་ཚོད་ ༡༠:༠༨ ལུ་ནུབ་མོ་མོ་ཊན་ཊན་ལུ་གནམ་འགུལ་ཚད་ལྡན་ཅིག་གིས་གཡུག་ནུག།
The USGS and its National Seismic Information Centre received no reports of immediate damage from the earthquake.,ཡུ་ནའི་ཊེཌ་ཨེསི་ ཇི་ཨོ་ལོ་ཇི་ཡཱལ་སིརཔི་དང་དེའི་རྒྱལ་ཡོངས་ས་ཡོམ་བརྡ་དོན་ལྟེ་བ་གིས་འཕྲལ་འཕྲལ་ར་གནོད་སྐྱོན་གྱི་སྙན་ཞུ་མ་འཐོབ་པས།
The earthquake actually occurred about 20 kilometers north and northeast of Dillon and about 65 kilometers south of Butte.,ས་ཡོམ་འདི་ཌི་ལཱོན་གྱི་བྱང་བྱང་ཤར་ལས་ ཀི་ལོ་མི་ཊར་ ༢༠ དང་བཊ་ལས་ ལྷོ་ཁ་ལུ་ ཀི་ལོ་མི་ཊར་༦༥ གི་ལྟེ་བ་ལུ་སྡོད་ནུག།
"The human-threatened H5N1 virus was discovered in the mountains of eastern France on Monday in the swamp near Lyon, after a dead mountain frog.",མི་ལུ་ཤི་རྐྱེན་ཅན་བྱ་ནད་ཧེཆ་༥ཨེན་༡ གི་རིགས་འདི་ གཟའ་མིག་དམར་ལུ་ཕེརེནཆི་གི་ཤར་ཕྱོགས་ལི་ཡོན་གི་སྦོ་ལོགས་ཁར་འདམ་རྫིང་ནང་ཐོབ་མི་ རི་དྭགས་ཤ་ཁུ་ཤི་སྟེ་ ནད་འབུབ་ཐོབ་ནུག་ཟེར་ ཁ་བཟེད་ནུག།
"France was the 7th country in the European Union to have this outbreak, ahead of France, Austria, Germany, Slovenia, Bulgaria and Italy.",ཨོསི་ཊིཡ་ ཇར་མཱན་ སེ་ལོ་ཝེ་ནིཡ་ བཱལ་གཱར་ཡེརེཀ་ ཨི་ཊ་ལི་གི་ཤུལ་ལས་ ཨོསི་ཊིཡ་ ཇར་མཱན་ སེ་ལོ་ཝེ་ནིཡ་ ཨིས་ཊི་ཡ་གི་ནད་གཞི་འདི་ཐོབ་མི་ ཡུ་རོབ་གི་རྒྱལ་ཁབ་ནང་ཕེརེནཆི་འདི་བདུན་པ་ཨིན།
Suspicion of H5N1 infection in Croatia and Denmark could not be confirmed.,ཀོརོ་ཤི་ཡ་དང་ཌེན་མཱར་ཀ་ལུ་ཧེཀ་༥ཨེན་༡ གི་དོགས་པ་ཅན་གྱི་ནད་གཞི་ཚུ་བདེན་ཁུངས་མ་བཟེད་པས།
Chambers argued with God over the massive death and destruction that terrorized millions of people around the world.,ཁང་མིག་གིས་ལྷ་ལུ་འཛམ་གླིང་གི་མི་རློབས་ས་ཡ་ལས་བཅད་དེ་ཤི་རྐྱེན་དང་མེདཔ་བཏང་ནི་དང་འཇིགས་སྐྲག་བསྐྱེད་བཅུག་མི་ལུ་ཁྲིམས་གཏུགས་འབད་ནུག།
"Chamber, a demon-deceiver, said that no one could sue anyone for his allegations, even if they were funny.",ཁང་མིག་གིས་ཤེས་རིག་མེད་པའི་མི་ཅིག་གིས་ཁོ་གི་ཁྲིམས་རྩའི་རྩོད་བཤེར་འདི་འཇམ་ཏོང་ཏོ་ཅིག་ཨིནམ་དང་ག་འབད་རུང་ག་འབད་རུང་ཅིག་ལུ་ཁྲིམས་རྩའི་རྩོད་བཤེར་འབད་ཚུགས་ཟེར་ཁ་ཤགས་རྐྱབ་མས།
The story that Camille Saint-Saëns portrayed in the French play is about a man named Mindu and an artist who loves Japan.,ཕེརེནཆི་གི་གློག་བརྙན་ནང་ཀེ་མི་ལཱི་ སེན་སེན་གྱིས་སྟོན་མི་གཏམ་འདི་ཨ་ནོ་རྫས་དང་ཇ་པཱན་ལུ་དགའ་བའི་མི་ཚེ་གིས་བཅའ་མར་གཏོགས་མི་སྒྱུ་རྩལ་པ་ཅིག་གི་ཨིན།
So the singers were drinking coffee on the stage and the theater was encouraging the audience to take drugs.,འདི་གི་གྲུབ་འབྲས་ལུ་འཁྲབ་རྩེད་འབད་མི་ཚུ་གིས་ལྟེ་བ་གུར་ཀེན་བ་བིསི་གི་སྦྱོར་བ་ཚུ་འཐུང་ནི་ཨིནམ་དང་འཁྲབ་སྟོན་ཁང་འདི་ར་གིས་ལྟ་མི་ཚུ་གཅིག་ཁར་འཛུལ་ནི་ལུ་སྐུལ་ཤུགས་བྱིན་དེས།
"Former White House chairman, Texas governor Rick Perry and Congresswoman Michelle Baumman finished fourth, fifth and sixth.",ཁང་མིག་གི་འགོ་འཛིན་གྱི་ཧེ་མའི་གསར་ཊ་གྷིང་རིཅ་ ཊེ་ཀ་སིསི་གི་སྲིད་འཛིན་ རིག་པེ་རི་དང་སྤྱི་འཐུས་མི་གི་བུམོ་མི་ཅེ་ལཱ་བྷ་ཅམ་ནེཊ་གིས་རིམ་བཞིན་བཞི་པ་དང་ལྔ་པ་དང་དྲུག་པའི་ས་གོ་ནང་མཇུག་བསྡུ་ནུག།
"After the results, the British were on holiday in Santorum, but they made bad publicity against the British in Iowa rather than against the Romans.",གྲུབ་འབྲས་ཚུ་ལྷོད་པའི་ཤུལ་ལས་ གིང་རིཤི་གིས་ སཱན་ཊོ་རམ་ལུ་བསྟོད་རྐྱབ་ཅི་ དེ་འབདཝ་ད་ རོམ་ནི་ལུ་ཚིག་རྩུབ་དྲགས་ཡོད་མི་འདི་གི་མིང་ཐོག་ལུ་ དཔལ་འབྱོར་གྱི་ངོ་རྒོལ་གྱི་གསལ་བསྒྲགས་ཚུ་ ཨ་ཝཱ་ལུ་ གིང་རིཤི་ལུ་བཀྲམ་སྤེལ་འབད་ནུག།
"Faray said he'd return to Texas to analyze the outcome of tonight's meeting and see if he had a chance, but later said he'd run in the South Carolina general election on Jan. 21.",པེ་རི་གིས་ཁོ་གིས་ཊེ་ཀ་སི་ལུ་ད་རིས་ཕྱི་རུ་གི་ཚོགས་འདུའི་གྲུབ་འབྲས་དཔྱད་ཞིབ་འབད་ནི་གི་དོན་ལས་ང་གི་དོན་ལུ་རྒྱལ་ཁ་ནང་ལམ་ལམ་ཡར་རྒྱས་ཡོད་ག་མེད་ངེས་གཏན་འབད་ནི་གི་དོན་ལས་ལོག་འོང་ཟེར་སླབ་ཅི་ དེ་འབདཝ་ད་ཤུལ་ལས་ཁོ་གིས་རྒྱལ་ཁ་ནང་སྡོད་དེ་ སྤྱི་ཟླ་དང་པའི་སྤྱི་ཚེས་༢༡ ལུ་ ལྷོ་ཀོ་ལོ་རཱིན་ལ་གི་འགོ་ཐོག་རྩེད་འགྲན་འབད་ནི་ཨིན་ཟེར་སླབ་ཅི།
"In August, the winner of the United States election, Benjamin decided to end his campaign.",བེག་མཱན་གྱིས་ཨུ་རུ་ནང་ཨེ་མསི་སཊོརཨོ་ལཱ་ཐོབ་མི་གིས་མོ་རའི་ལས་འགུལ་མཇུག་བསྡུ་ནི་སྦེ་ཐག་བཅད་ནུག།
The photographer was taken to the Roland Riggins UCAL Hospital and died.,པར་ལེན་མི་འདི་ རོ་ནལ་ཌ་རེ་གཱན་ ཡུ་སི་ཨེ་ཨེལ་ཨའི་སྨན་བཅོས་ལྟེ་བ་ལུ་འབག་འགྱོ་ཡོདཔ་ལས་ ཁོ་དེ་ནང་གྱོངས་ནུག།
"The deceased turned out to be a man in his early 20s. According to Bieber, he was absent and said he was not directly involved in the incident, but offered condolences to the families of the victims.",ཁོ་ལོ་༢༠ གི་ནང་འཁོད་ལུ་ཨིནམ་སྦེ་སྙན་ཞུ་འབད་ནུག། གསལ་བཤད་ནང་ བི་བེར་གྱིས་ ང་འདི་འདི་ནང་མེད་རུང་ ཡང་ཅིན་ ཐད་ཀར་དུ་ རྐྱེན་ངན་འདི་ནང་ འབྲེལ་བ་མེདཔ་ཨིན་རུང་ ངེའི་མནོ་བསམ་དང་སྨོན་ལམ་འདི་ ཉམས་རྒུདཔ་གི་བཟའ་ཚང་དང་གཅིག་ཁར་ཨིན་ཟེར་སླབ་ཅི།
